metric,PLS_n,PLS_mean,PLS_median,PLS_std,PLS_min,PLS_max,TECH_n,TECH_mean,TECH_median,TECH_std,TECH_min,TECH_max,ALL_n,ALL_mean,ALL_median,ALL_std,ALL_min,ALL_max
syllables_per_token_mean,65,2.1057127355413585,2.0985401459854014,0.15696085335151322,1.7424960505529226,2.6,0,,,,,,65,2.1057127355413585,2.0985401459854014,0.1569608533515132,1.7424960505529226,2.6
syllables_per_token_median,65,1.676923076923077,2.0,0.503354134397826,1.0,3.0,0,,,,,,65,1.676923076923077,2.0,0.503354134397826,1.0,3.0
syllables_per_token_std,65,1.2965364618658362,1.307389743656786,0.1208516934327992,0.9785985719029816,1.6420004901823195,0,,,,,,65,1.2965364618658362,1.307389743656786,0.12085169343279915,0.9785985719029816,1.6420004901823195
symbol_to_word_ratio_#,65,0.0,0.0,0.0,0.0,0.0,0,,,,,,65,0.0,0.0,0.0,0.0,0.0
token_length_mean,65,5.295493224994192,5.266524520255864,0.4108055317864311,4.292259083728278,6.55,0,,,,,,65,5.295493224994192,5.266524520255864,0.41080553178643114,4.292259083728278,6.55
token_length_median,65,4.476923076923077,4.0,0.7258118796323085,3.0,6.5,0,,,,,,65,4.476923076923077,4.0,0.7258118796323085,3.0,6.5
token_length_std,65,3.468998710785173,3.4835695956052954,0.31930383214490693,2.693851506208165,4.552187476417447,0,,,,,,65,3.468998710785173,3.4835695956052954,0.319303832144907,2.693851506208165,4.552187476417447
top_ngram_chr_fraction_2,65,0.035649386210711356,0.027661357921207,0.027990260679334807,0.0,0.1350397175639894,0,,,,,,65,0.03564938621071135,0.027661357921207,0.027990260679334803,0.0,0.1350397175639894
top_ngram_chr_fraction_3,65,0.04117877453737325,0.0343593414459556,0.03938450356091171,0.0,0.2582159624413145,0,,,,,,65,0.04117877453737325,0.0343593414459556,0.039384503560911714,0.0,0.2582159624413145
top_ngram_chr_fraction_4,65,0.033355278031099216,0.0223905169575238,0.05100309714071325,0.0,0.3286384976525822,0,,,,,,65,0.033355278031099216,0.0223905169575238,0.05100309714071326,0.0,0.3286384976525822
